Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
AKR7A3	0.110860501	0.140595873	0.325734363	178	178
AKR7L	0.004101374	0.95663603	0.978710723	178	178
AKT1S1	-0.126437277	0.092616319	0.249000012	178	178
AKT1	-0.056107459	0.456949523	0.666744383	178	178
AKT2	0.001628847	0.98278423	0.991660732	178	178
AKT3	0.087571508	0.244835431	0.458724257	178	178
AKTIP	0.047560001	0.528422443	0.719927338	178	178
TTC39C	0.247701952	0.000857365	0.008413668	178	178
ALAS1	-0.075403688	0.317142124	0.535997295	178	178
C10orf57	0.248407061	0.000855888	0.00840334	178	178
EFCAB1	0.24776073	0.000854852	0.008397337	178	175
ALCAM	0.160194015	0.032775538	0.122816654	178	178
ALDH16A1	-0.031401308	0.677055471	0.82335633	178	178
ALDH18A1	-0.130258913	0.08309242	0.23169763	178	178
ALDH1A1	0.138997807	0.064257425	0.195902919	178	178
KIF22	-0.248432594	0.000854808	0.008397337	178	178
ALDH1A3	0.074770541	0.320910393	0.539540564	178	178
ALDH1B1	-0.070074442	0.352305663	0.571445507	178	178
SUGT1L1	0.248441106	0.000854448	0.008397337	178	178
SUN1	-0.247779617	0.000854046	0.008397337	178	178
ALDH2	0.011971123	0.873987847	0.936554256	178	178
ALDH3A1	-0.041433981	0.582572308	0.758815848	178	177
BCAM	0.248513452	0.000851396	0.008384755	178	178
ALDH3B1	-0.101721513	0.176504701	0.376405214	178	178
ALDH3B2	-0.107545586	0.153039922	0.344553275	178	175
ALDH4A1	0.067054037	0.373835931	0.591241773	178	178
ALDH5A1	0.069329705	0.357456303	0.576390973	178	178
ALDH6A1	0.240172396	0.001277757	0.011396644	178	178
FHL2	-0.247830553	0.000851875	0.008384755	178	178
ALDH8A1	0.212231988	0.004524586	0.029450018	178	178
ALDH9A1	0.054790309	0.467233591	0.674729937	178	178
TMEM90B	-0.248507068	0.000851665	0.008384755	178	178
ANAPC16	0.247871114	0.00085015	0.008380291	178	178
RPS6KA5	0.248598564	0.000847817	0.008361467	178	178
ALG10B	0.115094864	0.12598202	0.302951291	178	178
ALG10	0.173809937	0.020431721	0.087885508	178	178
ALG11	-0.221676436	0.002941515	0.021394288	178	178
ALG12	0.028796856	0.702514431	0.838707985	178	178
ALG13	0.072700172	0.334520778	0.553448282	178	178
ALG14	0.131654765	0.079816502	0.225470214	178	178
ALG1L2	-0.133399612	0.075868755	0.218119912	178	107
ALG1L	-0.123163558	0.101418611	0.265061012	178	178
ALG1	0.015704378	0.835029484	0.916155635	178	178
ALG2	0.166181966	0.026625677	0.106556596	178	178
ALG3	-0.168853359	0.024251805	0.099492778	178	178
ALG5	0.161892015	0.030952753	0.118112648	178	178
ALG6	0.096478564	0.199956139	0.406072989	178	178
ALG8	-0.054220082	0.472252663	0.678953334	178	178
S1PR1	0.248617715	0.000847014	0.008357715	178	178
ALKBH1	0.164716784	0.028010226	0.110597887	178	178
ALKBH2	-0.017982219	0.811693606	0.904096736	178	178
ALKBH3	0.101907806	0.175874421	0.375606523	178	178
ALKBH4	-0.070647927	0.348711317	0.567632837	178	178
ALKBH5	0.006979254	0.926332593	0.962295808	178	178
ALKBH6	-0.136794375	0.068676963	0.20498389	178	178
ALKBH7	0.011334905	0.880633742	0.939703827	178	178
ALKBH8	0.15213604	0.04263542	0.14793346	178	178
ALK	0.155229299	0.038547534	0.138437875	178	170
ALLC	0.153599896	0.040657684	0.142927118	178	136
ALMS1P	0.223104056	0.00275859	0.020384291	178	157
ALMS1	0.14300761	0.056927542	0.180138455	178	178
ALOX12B	0.041976292	0.577983025	0.75526141	178	172
ALOX12P2	-0.01597782	0.832354843	0.915073623	178	176
ALOX12	-0.061782326	0.412278859	0.626674007	178	177
ALOX15B	0.033018451	0.661427935	0.812808731	178	178
ALOX15	-0.052311769	0.488005864	0.689758098	178	157
ALOX5AP	0.163455963	0.029351064	0.113846204	178	178
ALOX5	0.081583822	0.278694518	0.495986446	178	178
ALOXE3	0.007576124	0.920052633	0.959322539	178	175
ALPI	-0.07309037	0.332258617	0.551088903	178	135
ALPK1	0.0947987	0.208139278	0.415981291	178	178
ALPK2	-0.229741821	0.002083761	0.016481564	178	178
ALPK3	0.208512558	0.005296139	0.033183095	178	178
ALPL	0.044659756	0.553546501	0.738086885	178	178
ALPPL2	-0.153784978	0.040413209	0.142447558	178	154
ALPP	-0.153877924	0.040290905	0.142216958	178	156
ALS2CL	-0.015907593	0.83308091	0.915252921	178	178
ALS2CR11	0.075232615	0.318244452	0.536896664	178	172
ALS2CR12	0.149074525	0.047033177	0.158249795	178	160
ALS2CR4	-0.031007711	0.681161482	0.825640237	178	178
ALS2CR8	0.126243645	0.093121088	0.249745882	178	178
ALS2	0.007820808	0.917479606	0.958233863	178	178
ALX1	-0.051559473	0.494292459	0.694531307	178	104
ALX3	0.026150967	0.728968025	0.855110767	178	178
ALX4	0.014159921	0.851193875	0.924463791	178	40
AMAC1L2	0.07865556	0.29666096	0.515363398	178	155
AMAC1L3	0.10031034	0.182781042	0.384682754	178	80
AMAC1	0.009424921	0.90063359	0.949482503	178	44
AMACR	0.114077765	0.129380207	0.308396532	178	178
AMBN	-0.092522974	0.219315486	0.429140279	178	39
GATA4	0.248000779	0.000844657	0.008338615	178	176
AMBRA1	0.02883306	0.70242408	0.838650752	178	178
AMD1	0.158557721	0.034617687	0.127723207	178	178
AMDHD1	0.122342415	0.10376492	0.268496143	178	176
AMDHD2	-0.078211227	0.299098356	0.518009412	178	178
AMELX	-0.131331722	0.080565241	0.226979825	178	46
AMELY	0.138520222	0.065187567	0.197575494	178	16
AMFR	0.070677716	0.348507609	0.567426057	178	178
PLP1	0.248022453	0.000843742	0.008333743	178	175
AMH	-0.00783745	0.917304629	0.958152329	178	168
AMICA1	0.231756049	0.001853728	0.015028955	178	178
AMIGO1	0.21006917	0.004886836	0.03138431	178	178
AMIGO2	-0.023143237	0.758900053	0.87236889	178	178
AMIGO3	-0.02337945	0.756739246	0.871100352	178	178
AMMECR1L	-0.040243529	0.593791963	0.766873744	178	178
AMMECR1	-0.033445115	0.657625548	0.810274329	178	178
AMN1	-0.007184589	0.924171633	0.961060734	178	178
AMN	-0.038876341	0.606076063	0.775849555	178	177
AMOTL1	0.174237721	0.020015083	0.086736413	178	178
AMOTL2	0.083126491	0.269682682	0.486294487	178	178
AMOT	0.151725371	0.043204526	0.149277499	178	178
AMPD1	0.135947479	0.070389382	0.208048213	178	152
CDHR4	-0.248057748	0.000842254	0.008327153	178	110
AMPD3	-0.080517784	0.285039637	0.502753883	178	178
AMPH	0.097740361	0.194115623	0.398538299	178	178
PTGFR	0.248721978	0.000842654	0.008327153	178	178
GRAP2	0.2480827	0.000841203	0.008321138	178	178
NPTXR	0.248828369	0.000838225	0.008295831	178	178
DACH2	0.248183933	0.000836954	0.008287392	178	160
ARL5C	0.248241418	0.000834549	0.008267724	178	62
AMZ1	-0.15204888	0.042755678	0.148200182	178	177
AMZ2P1	-0.007847405	0.917199962	0.95809361	178	178
AMZ2	-0.085987437	0.253766668	0.468313775	178	178
ANAPC10	-0.024223119	0.74825059	0.866473833	178	178
ANAPC11	-0.06936375	0.357219823	0.576387005	178	178
ANAPC13	0.080226272	0.286791499	0.504987987	178	178
FGB	0.24839983	0.000827956	0.00820652	178	171
ANAPC1	0.006050457	0.936059777	0.967875237	178	178
ANAPC2	-0.027784073	0.712764915	0.845367875	178	178
ANAPC4	0.001271373	0.986559549	0.993492999	178	178
ANAPC5	-0.049217547	0.513774355	0.709701299	178	178
ANAPC7	-0.141101083	0.060341685	0.187158393	178	178
CFP	0.24910073	0.000826987	0.00820102	178	178
ANGEL2	0.037102842	0.622934615	0.787439052	178	178
ANGPT1	0.242586537	0.001104033	0.0101892	178	178
KCNH7	0.248488331	0.000824294	0.008178417	178	156
ANGPT4	0.091307579	0.225456375	0.436904583	178	152
CATSPERB	0.249232655	0.000821593	0.008169394	178	177
ANGPTL2	-0.15674269	0.03676311	0.133582091	178	178
ANGPTL3	0.025675107	0.733712391	0.857310628	178	157
ANGPTL4	0.027005231	0.720224512	0.850274561	178	178
ANGPTL5	0.020115681	0.789844273	0.89191826	178	142
ANGPTL6	0.039328544	0.602218234	0.772411193	178	176
ANGPTL7	0.225668898	0.002455637	0.018747871	178	162
ANG	0.001190515	0.987414982	0.994101312	178	178
ANK1	-0.026139208	0.728839554	0.855110767	178	178
ANK2	0.094663533	0.208579456	0.416547478	178	178
GMCL1	0.248526351	0.000822725	0.008169394	178	178
NUDT7	0.249211377	0.000822461	0.008169394	178	178
ANKDD1A	0.170170572	0.023149838	0.096110235	178	178
ANKFN1	-0.148985072	0.047167159	0.15854579	178	167
ANKFY1	0.112606498	0.134513631	0.317180126	178	178
ANKHD1-EIF4EBP3	0.165122134	0.027621161	0.109455078	178	178
ANKHD1	0.082207273	0.275028281	0.491674281	178	178
ANKH	-0.176001592	0.018879193	0.083255388	178	178
ANKIB1	-0.028522382	0.705481128	0.84062572	178	178
ANKK1	-0.017756755	0.814011479	0.905199808	178	174
ANKLE1	0.028165972	0.708993996	0.842729459	178	178
ANKLE2	-0.126875743	0.091481354	0.247057128	178	178
ANKMY1	-0.051873067	0.491302506	0.691901252	178	178
ANKMY2	-0.138032766	0.066189117	0.199789895	178	178
ANKRA2	0.002944905	0.968879859	0.985171509	178	178
ANKRD10	0.075011025	0.319675988	0.53830137	178	178
ANKRD11	0.104918619	0.163384984	0.358530317	178	178
ANKRD12	0.087924726	0.242931787	0.456238309	178	178
ANKRD13A	0.105309018	0.161674298	0.356418852	178	178
ANKRD13B	-0.137109292	0.068037188	0.203843538	178	178
ANKRD13C	0.050920895	0.49966228	0.698453409	178	178
ANKRD13D	-0.082609431	0.272680802	0.489291306	178	178
ANKRD16	0.11928667	0.112701278	0.282919268	178	178
ANKRD17	0.087269404	0.246730407	0.461138664	178	178
ANKRD19	-0.014661746	0.8458415	0.921954952	178	178
ANKRD1	0.167112711	0.025776939	0.104065575	178	176
ANKRD20A3	0.167571168	0.025471041	0.103125383	178	177
ANKRD20A4	-0.063157253	0.402298717	0.617705332	178	140
ANKRD20B	0.083913703	0.265439551	0.481707531	178	173
ANKRD22	-0.112760645	0.133885356	0.316226591	178	178
ANKRD23	-0.008121894	0.914314634	0.9565158	178	178
ANKRD24	0.118056789	0.116478902	0.288555976	178	178
ANKRD26P1	-0.008965555	0.905453548	0.95194378	178	93
ANKRD26	0.112528712	0.134691005	0.317446953	178	178
ANKRD27	-0.160011022	0.032977321	0.123339049	178	178
ANKRD28	0.11182671	0.137250438	0.321367305	178	178
ANKRD29	-0.014365979	0.848913934	0.923345661	178	178
ANKRD2	0.075299042	0.317816129	0.536494462	178	173
ANKRD30A	-0.045357616	0.547711985	0.733949793	178	21
ANKRD30B	0.229960712	0.002015526	0.016044687	178	94
ANKRD31	0.011806834	0.875703178	0.937680979	178	131
ANKRD32	0.048604735	0.519034605	0.713607727	178	178
ANKRD33	-0.039811946	0.597759834	0.769961292	178	133
ANKRD34A	-0.162743143	0.03007208	0.115802398	178	178
ANKRD34B	-0.129336421	0.085316074	0.236015676	178	121
PTCHD3	0.24852038	0.000822971	0.008169394	178	140
ANKRD35	0.054376477	0.470974047	0.678101122	178	178
ANKRD36BP1	0.046972697	0.533177234	0.72331293	178	177
ANKRD36B	0.03583143	0.634593615	0.795061404	178	177
ANKRD36	-0.075707886	0.315188127	0.534248863	178	178
ANKRD37	-0.151576342	0.043494753	0.149863261	178	178
ANKRD39	-0.142324656	0.058075341	0.182398633	178	178
ANKRD40	0.16848631	0.024566792	0.100389286	178	178
ANKRD42	0.035007982	0.642707652	0.800762307	178	178
ANKRD43	0.131885493	0.07929988	0.224433943	178	178
ANKRD44	0.178978412	0.016935186	0.077000776	178	178
ANKRD45	0.234231704	0.001650001	0.013743522	178	174
ANKRD46	0.200966457	0.007148715	0.041176433	178	178
ANKRD49	0.079204919	0.292986297	0.511342546	178	178
ANKRD50	0.156132006	0.037509803	0.135725305	178	178
ANKRD52	0.074031202	0.326055898	0.544868531	178	178
STK32B	0.248550821	0.000821717	0.008169394	178	178
ANKRD54	0.10347702	0.1692797	0.366794638	178	178
ANKRD55	0.229137208	0.002093953	0.01652435	178	165
ANKRD56	0.087079982	0.247501746	0.461842495	178	178
ANKRD57	-0.058727871	0.436168383	0.649408449	178	178
ANKRD58	0.180038067	0.01628658	0.074825939	178	178
ANKRD5	0.171435289	0.022237588	0.093487704	178	178
TDRD9	0.248546565	0.000821892	0.008169394	178	176
ANKRD7	0.223607294	0.002696607	0.020070349	178	135
ANKRD9	-0.097231812	0.196454412	0.401368448	178	178
ANKS1A	0.184655731	0.013605444	0.06571423	178	178
ARHGEF15	0.249360324	0.000816404	0.008128688	178	178
ANKS3	-0.067293381	0.371778527	0.589317223	178	178
ANKS4B	-0.128728941	0.086806268	0.238923179	178	176
ANKS6	-0.046259877	0.539414441	0.72768656	178	178
ANKZF1	-0.179086153	0.016763995	0.076521523	178	178
ANLN	-0.193909327	0.009593198	0.050992188	178	178
ANO10	0.062019644	0.410844862	0.62555219	178	178
ANO1	0.009944368	0.895092463	0.946601688	178	178
ANO2	0.186242791	0.012906819	0.063298473	178	178
GGA2	0.249377347	0.000815715	0.008125914	178	178
ANO4	0.071634134	0.341670872	0.560727016	178	178
KIAA1467	0.249441181	0.000813133	0.008104285	178	178
ANO6	0.196043531	0.008816374	0.048079147	178	178
ANO7	-0.016281026	0.829221658	0.913424985	178	178
ANO8	-0.013970204	0.85302881	0.925587962	178	178
ANO9	-0.11210102	0.136186408	0.319713883	178	178
ANP32A	0.008407022	0.911318657	0.955128802	178	178
ANP32B	-0.08428939	0.263298091	0.479421326	178	178
ANP32C	0.043522581	0.564043387	0.745697262	178	160
ANP32D	-0.07533101	0.31761013	0.536329865	178	42
ANP32E	-0.042622414	0.572138783	0.751371493	178	178
GUCY1B3	0.249605023	0.000806543	0.008042655	178	178
ANTXR1	-0.032269459	0.668648247	0.818285087	178	178
ANTXR2	-0.050160172	0.505737207	0.703810791	178	178
ANTXRL	-0.059809797	0.427748315	0.641760485	178	31
ANUBL1	0.155059584	0.038852101	0.13912739	178	178
ANXA10	0.038349726	0.611291022	0.779275615	178	178
ANXA11	-0.012576502	0.86767227	0.933775167	178	178
ANXA13	-0.008016563	0.915346762	0.9572123	178	178
ANXA1	-0.126256479	0.093087563	0.249689837	178	178
ANXA2P1	-0.064459124	0.392292024	0.608836236	178	178
ANXA2P2	-0.055438318	0.462343175	0.670852212	178	178
ANXA2P3	0.033997267	0.65233929	0.807432299	178	176
ANXA2	-0.074681173	0.321490362	0.540114734	178	178
ANXA3	-0.052871015	0.482995191	0.686560773	178	178
ASF1A	0.248948856	0.000805475	0.008036058	178	178
ANXA5	0.192096526	0.010205119	0.053300587	178	178
ANXA6	-0.059441755	0.430602007	0.644516942	178	178
ANXA7	0.016684274	0.825058856	0.91113112	178	178
ANXA8L1	-0.082447215	0.273912342	0.490699643	178	37
ANXA8L2	0.033089673	0.661037548	0.812541585	178	171
ANXA8	0.027627766	0.714310324	0.846301518	178	174
HEPH	-0.249641196	0.000805095	0.008036058	178	178
CNNM3	0.249009631	0.000803021	0.00801967	178	178
AOC2	0.174126982	0.020200503	0.087337027	178	178
AOC3	0.035978249	0.633205659	0.794228272	178	178
THAP9	0.249700775	0.000802714	0.00801967	178	178
AOX2P	-0.057880994	0.442824767	0.655224255	178	19
AP1AR	-0.122950907	0.102044361	0.266203851	178	178
AP1B1	0.017448136	0.817186841	0.906945759	178	178
AP1G1	0.105539943	0.16089223	0.355489413	178	178
AP1G2	0.012904166	0.864131907	0.931444226	178	178
AP1M1	-0.130080107	0.083519753	0.232444702	178	178
AP1M2	-0.037034771	0.623573004	0.787994158	178	178
AP1S1	-0.24031296	0.001233283	0.011110223	178	178
AP1S2	0.132647253	0.077569364	0.221335728	178	178
AP1S3	-0.065452851	0.385378494	0.601838125	178	178
AP2A1	-0.096525376	0.199737207	0.405836778	178	178
ESYT2	-0.249031841	0.000802126	0.008018832	178	178
AP2B1	-0.115410906	0.125015853	0.301567696	178	178
GPI	-0.249123205	0.000798454	0.00798616	178	178
AP2S1	-0.137371014	0.067509195	0.202717288	178	178
AP3B1	0.024455078	0.745921961	0.865195967	178	178
CYGB	0.249201003	0.00079534	0.007959034	178	178
AP3D1	0.019161032	0.799601935	0.897198472	178	178
AP3M1	0.162323963	0.030503101	0.116893085	178	178
AP3M2	-0.120027215	0.110521063	0.279397022	178	178
AP3S1	-0.068021131	0.366968247	0.584834444	178	178
AP3S2	0.141228752	0.060107909	0.186618589	178	178
AP4B1	-0.099507569	0.18632615	0.388856285	178	178
AP4E1	0.011753028	0.876265088	0.938028684	178	178
AP4M1	-0.095617911	0.204218062	0.411480438	178	178
SLC6A17	0.249917813	0.000794098	0.007950631	178	178
APAF1	0.106479376	0.157177477	0.350674424	178	178
APBA1	-0.003163007	0.966576371	0.983841105	178	178
APBA2	-0.058326746	0.43894823	0.652074397	178	178
APBA3	-0.107847508	0.151759138	0.342645033	178	178
TEF	0.24997952	0.000791664	0.007930275	178	178
APBB1	0.139800985	0.062765208	0.192690454	178	178
APBB2	0.02825639	0.70784054	0.842160947	178	178
APBB3	-0.057790535	0.443173056	0.655568255	178	178
APC2	-0.009037922	0.904694	0.951615466	178	178
APCDD1L	-0.044409761	0.556118695	0.740182224	178	177
PMS2L1	-0.249423227	0.000786505	0.007882587	178	178
UBE2C	-0.250128467	0.000785817	0.007879686	178	178
APC	0.10871146	0.148610211	0.338005328	178	178
APEH	0.01439152	0.848788875	0.923308478	178	178
APEX1	-0.019712138	0.793965079	0.894528259	178	178
APEX2	-0.019479162	0.796346734	0.896088335	178	178
APH1A	-0.092305957	0.220403159	0.430742446	178	178
APH1B	0.117378015	0.118605703	0.291668845	178	178
API5	-0.008524066	0.910089181	0.954367621	178	178
APIP	0.010445475	0.889938547	0.943990189	178	178
APITD1	0.111094561	0.139755655	0.324586366	178	178
APLF	0.138168947	0.0659201	0.199160283	178	178
APLNR	0.21897505	0.003379193	0.023737181	178	178
BCMO1	-0.250141234	0.000785317	0.007878674	178	177
ALDOA	-0.24946472	0.000784865	0.007878133	178	178
APLP2	0.083380899	0.268496942	0.484819516	178	178
APOA1BP	-0.059784335	0.427945389	0.641999251	178	178
APOA1	0.00503554	0.9468129	0.973901284	178	173
APOA2	-0.109730151	0.144819788	0.33221189	178	52
APOA4	0.063852662	0.397127002	0.613307509	178	111
APOA5	0.051181502	0.497467129	0.697010912	178	82
APOB48R	0.07378536	0.327341407	0.546093731	178	178
APOBEC1	0.007481228	0.921050765	0.959682676	178	167
DGAT1	-0.249550897	0.00078147	0.007848036	178	178
APOBEC3A	-0.020140883	0.789392224	0.891560534	178	177
APOBEC3B	0.132555827	0.077757648	0.221681044	178	178
APOBEC3C	0.073550275	0.32921717	0.548205501	178	178
APOBEC3D	0.052312518	0.487999632	0.689758098	178	178
APOBEC3F	0.16832016	0.024814465	0.101192047	178	178
APOBEC3G	0.085017105	0.25918373	0.474678066	178	178
APOBEC3H	0.194153995	0.009408393	0.05033592	178	174
APOBEC4	-0.059511501	0.430060382	0.643969639	178	141
APOB	0.018036469	0.810960612	0.903687525	178	178
APOC1P1	0.048637861	0.519108665	0.713607727	178	85
APOC1	0.205133579	0.006097288	0.036780895	178	178
APOC2	0.146037626	0.051831042	0.169238279	178	178
APOC3	-0.068164713	0.36595531	0.583957416	178	97
APOC4	0.118180272	0.116153858	0.28800331	178	130
ECT2	-0.250322099	0.000778275	0.007819923	178	178
APOE	0.151737074	0.04318822	0.149275277	178	178
APOF	-0.097429611	0.195736063	0.400422605	178	99
FAM123A	0.249662822	0.00077708	0.007811888	178	104
APOL1	-0.057871392	0.442534505	0.654998799	178	178
APOL2	-0.023958205	0.750912844	0.867989886	178	178
APOL3	0.095233789	0.205841765	0.413062215	178	178
APOL4	0.048817517	0.517205003	0.712475351	178	178
APOL5	-0.122933376	0.102093614	0.266239318	178	48
APOL6	0.075387609	0.316924389	0.535720881	178	178
APOLD1	0.186134272	0.012960178	0.06346279	178	178
APOM	-0.014519182	0.84732217	0.922629327	178	178
APOOL	0.179684849	0.016500331	0.075632255	178	178
APOO	-0.005174864	0.945343564	0.973149234	178	178
APPBP2	0.184074542	0.014010349	0.06712882	178	178
FEV	0.249770592	0.000772875	0.007773566	178	173
APPL2	0.133902667	0.074784185	0.216412187	178	178
APP	0.166525433	0.026309728	0.105677139	178	178
APRT	-0.04350435	0.563861698	0.745596704	178	178
APTX	-0.121509307	0.10615757	0.272618155	178	178
AQP10	-0.04737923	0.529992704	0.721023442	178	162
AQP11	0.163988093	0.028721426	0.112345061	178	178
CDC25C	-0.249817007	0.00077107	0.007759361	178	177
CDHR3	-0.249937096	0.000766419	0.007716483	178	178
PSG9	0.249948588	0.000765975	0.007715944	178	65
AQP2	0.122440777	0.103485254	0.268038158	178	162
AQP3	0.120329301	0.109574533	0.277883929	178	178
AASS	0.250010506	0.000763589	0.007695822	178	178
AQP5	-0.008178295	0.913721911	0.956228477	178	175
AQP6	-0.011478533	0.879132669	0.939064898	178	176
AQP7P1	0.153209608	0.041177291	0.144419963	178	176
AQP7P3	0.072815047	0.334087965	0.553056126	178	149
AQP7	0.033784467	0.654075755	0.808309164	178	178
C10orf93	0.250075025	0.000761109	0.007674742	178	165
AQP9	0.090212181	0.2310944	0.443226059	178	178
AQPEP	0.043061524	0.568182934	0.748266396	178	172
AQR	0.076006805	0.312957214	0.532062243	178	178
ARAF	0.074289693	0.324364873	0.543190295	178	178
ARAP1	0.125474438	0.095147948	0.253736417	178	178
ARAP2	0.086401207	0.251216903	0.46538908	178	178
ARAP3	0.016974723	0.822063526	0.909550367	178	178
ARCN1	-0.04556304	0.545898288	0.732730977	178	178
ARC	-0.028203209	0.708626692	0.842408289	178	177
AREG	-0.106877222	0.155493246	0.348095035	178	178
